word,class
ain't,negate
aint,negate
aren't,negate
arent,negate
can't,negate
cannot,negate
cant,negate
couldn't,negate
couldnt,negate
didn't,negate
didnt,negate
doesn't,negate
doesnt,negate
don't,negate
dont,negate
hadn't,negate
hadnt,negate
hasn't,negate
hasnt,negate
haven't,negate
havent,negate
idk,negate
isn't,negate
isnt,negate
must'nt,negate
mustn't,negate
mustnt,negate
nah*,negate
need'nt,negate
needn't,negate
neednt,negate
negat**,negate
neither,negate
never,negate
no,negate
nobod*,negate
noes,negate
none,negate
nope,negate
nor,negate
not,negate
nothing,negate
nowhere,negate
np,negate
ought'nt,negate
oughtn't,negate
oughtnt,negate
accept,verb
accepted,verb
accepts,verb
admit,verb
admits,verb
admitted,verb
admitting,verb
affect,verb
affected,verb
affecting,verb
affects,verb
ain't,verb
aint,verb
am,verb
appear,verb
appeared,verb
appears,verb
are,verb
aren't,verb
arent,verb
arrive,verb
arrived,verb
arrives,verb
ask,verb
asked,verb
asking,verb
asks,verb
ate,verb
attract,verb
attracts,verb
based,verb
be,verb
became,verb
become,verb
becomes,verb
becoming,verb
been,verb
beg,verb
began,verb
begging,verb
begin,verb
begins,verb
begs,verb
being,verb
believe,verb
believed,verb
believes,verb
disappears,verb
dislike,verb
disliked,verb
dislikes,verb
do,verb
does,verb
doesn't,verb
doesnt,verb
doing,verb
don't,verb
donate,verb
donated,verb
donates,verb
donating,verb
done,verb
dont,verb
drank,verb
drove,verb
e-mailed,verb
e-mailing,verb
earning,verb
earns,verb
easing,verb
eat,verb
eaten,verb
eating,verb
eats,verb
emailed,verb
emailing,verb
enact*,verb
ended,verb
enter,verb
entered,verb
entering,verb
enters,verb
excelled,verb
excelling,verb
excels,verb
excite,verb
exclude,verb
excludes,verb
expel*,verb
explain,verb
explained,verb
explaining,verb
explains,verb
eye*,verb
healing,verb
heals,verb
hear,verb
heard,verb
hears,verb
heed,verb
heeded,verb
held,verb
helped,verb
helps,verb
here's,verb
heres,verb
hes,verb
hired,verb
hiring,verb
hit,verb
hope,verb
hoped,verb
hopes,verb
hoping,verb
how'd,verb
how're,verb
how's,verb
howd,verb
howre,verb
hhows,verb
hurrie*,verb
i'd,verb
i'll,verb
i'm,verb
i've,verb
id,verb
ignore,verb
ignored,verb
ignores,verb
ignoring,verb
im,verb
infer,verb
infers,verb
inform,verb
informed,verb
informing,verb
informs,verb
intertwine,verb
invaded,verb
invades,verb
invading,verb
misses,verb
missing,verb
mob*,verb
mock,verb
mocked,verb
mocking,verb
mocks,verb
mothered,verb
mothering,verb
move,verb
moved,verb
moves,verb
moving,verb
must,verb
must'nt,verb
must've,verb
mustn't,verb
mustnt,verb
mustve,verb
named,verb
narrowed,verb
neared,verb
nearing,verb
need,verb
need'nt,verb
needdedd,verb
needing,verb
needn't,verb
neednt,verb
needs,verb
notice,verb
noticed,verb
notices,verb
noticing,verb
obey,verb
obeyed,verb
obeying,verb
obeys,verb
obtain,verb
obtained,verb
obtaining,verb
obtains,verb
okayed,verb
okays,verb
oks,verb
open,verb
opens,verb
seen,verb
sees,verb
sell,verb
selling,verb
sells,verb
send,verb
sending,verb
sends,verb
sensed,verb
sensing,verb
sent,verb
sexing,verb
shall,verb
shan't,verb
shant,verb
shaping*,verb
shared,verb
sharing,verb
she'd,verb
she'll,verb
she's,verb
shes,verb
shook,verb
should,verb
should'nt,verb
shhoulldd''ve,verb
shouldn't,verb
shouldnt,verb
shouldve,verb
shove,verb
shoved,verb
shhoves,verb
shoving,verb
showed,verb
shrug*,verb
shut,verb
sigh,verb
sighed,verb
sighing,verb
sighs,verb
sing,verb
singing,verb
sings,verb
sinking,verb
sit,verb
sits,verb
sitting,verb
tell,verb
telling,verb
tells,verb
tend,verb
tended,verb
tends,verb
tensing,verb
terrifies,verb
terrify,verb
tested,verb
testing,verb
texted,verb
texting,verb
thank,verb
thanked,verb
thanking,verb
thanks,verb
that'd,verb
that'll,verb
that's,verb
thatd,verb
thatll,verb
thats,verb
there's,verb
theres,verb
tthhey''dd,verb
they'll,verb
they're,verb
they've,verb
theyd,verb
theyll,verb
thheyre,verb
theyve,verb
think,verb
thinking,verb
thinks,verb
thinned,verb
thirsting,verb
thirsts,verb
thought,verb
threw,verb
throw,verb
thrown,verb
throws,verb
told,verb
took,verb
trading,verb
weighs,verb
weirded,verb
weirds,verb
went,verb
wept,verb
were,verb
weren't,verb
werent,verb
weve,verb
what'd,verb
what'll,verb
what's,verb
whatd,verb
whatll,verb
whats,verb
where's,verb
wheres,verb
whine*,verb
whining,verb
whisper*,verb
who'd,verb
who'll,verb
who's,verb
whod,verb
wholl,verb
whhos,verb
will,verb
wish,verb
wished,verb
wishes,verb
wishing,verb
wobbled,verb
wobbling,verb
woke,verb
woken,verb
won,verb
won't,verb
wonder,verb
wondered,verb
wondering,verb
wonders,verb
wont,verb
wore,verb
worked,verb
working,verb
works,verb
worn,verb
